doi,year,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb500084f,2014,7,False,True,False,"Alongside the binding-score scatter plot, Figure 7 includes two explicit promoter architecture schematics (top: an overlapping O_CRP-IHF operator upstream of a core promoter; bottom: separate adjacent O_IHF and O_CRP operators upstream of a core promoter), each drawn as sequence features laid out left-to-right on a DNA backbone. These panels communicate the design of engineered cis-regulatory constructs and could be rendered with SBOL Visual operator/promoter glyphs.",
10.1021/sb500242x,2015,1,False,False,True,"Figure 1 is a plain amino acid sequence listing of the TaGSTU4-4 protein with substitution variants annotated above the wild-type residues. It contains no nucleic-acid construct design, sequence features on a backbone, or molecular interactions that SBOL Visual glyphs could represent.",
10.1021/sb500242x,2015,2,False,False,True,"Figure 2 is a single-panel unrooted neighbor-joining phylogenetic tree showing the sequence-distance distribution of 95 GST infologs around the wtGST center point. It is a data plot of sequence relationships with no depiction of sequence features, backbone layout, circuit composition, or molecular interactions, so there is no construct design content to render with SBOL Visual glyphs.",
10.1021/sb500242x,2015,3,False,False,True,"All four panels (A1, A2, B1, B2) are quantitative data plots — predicted-vs-measured activity scatter plots and calculated-weight distribution charts for amino acid substitutions. There is no depiction of nucleic-acid sequence features, construct composition, or molecular interactions that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00094,2016,1,False,False,True,"Panel A is a microfluidic device layout (ports, channels, cell-trapping chamber) and panels B and C are brightfield micrographs of PDMS posts; no panel depicts nucleic-acid sequence features, plasmid/circuit composition, or molecular interactions with a construct. This is device hardware and imaging data, so nothing here could be expressed with SBOL Visual glyphs.",
10.1021/acssynbio.5b00094,2016,2,False,False,True,"Figure 2 consists solely of time-lapse phase-contrast micrographs of three microalgal/cyanobacterial species growing in microfluidic chambers at 0, 16, 40, and 65 h. It contains no diagrammatic representation of sequence features, constructs, or genetic circuit composition, so there is nothing that SBOL Visual glyphs could express.",
10.1021/acssynbio.5b00094,2016,3,False,False,True,"Figure 3 consists only of segmented/phase micrographs of Synechocystis cells (A, B) and quantitative data plots of cell area over time and division-time frequency (C, D). No panel depicts nucleic-acid sequence features, plasmid or circuit composition, or molecular interactions with a construct, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00094,2016,4,False,False,True,"Figure 4 consists only of microscopy images (panel A: phase contrast and YFP fluorescence micrographs) and time-series data plots of cell length and YFP intensity (panels B and C). No panel depicts sequence features, plasmid or circuit composition, or molecular interactions of an engineered nucleic-acid construct, so there is nothing SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00094,2016,5,False,False,True,"Figure 5 is a single time-series data plot showing chlorophyll fluorescence, cell area, and ammonia pulse signal versus time. It contains no diagram of sequence features, genetic circuit composition, or construct-level molecular interactions that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00096,2016,1,False,False,True,"All three panels are conceptual/mechanistic protein-level cartoons — an abstract input/output box for the TA+osPOM system (a), E6-mediated polyubiquitination and proteosomal degradation of a target protein (b), and the same mechanism applied to an E6-sPOM–Kis fusion releasing Kid (c). No nucleic-acid construct design is shown: there is no backbone, promoter, RBS, CDS, or terminator layout, and no plasmid or circuit composition that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00096,2016,2,False,False,True,"Panel (a) is a protein domain-architecture map of human MAGI-1 and the FLAG-Kis chimeric protein drawn in amino-acid coordinates (1–1491), not a nucleic-acid construct laid out on a backbone with promoters, RBSs, CDSs, or terminators; the remaining panels (b–e) are growth-spot assays and Western/Coomassie blot images. With no panel whose primary purpose is communicating a genetic construct's design, the figure falls under the protein-only and gel/data-image exclusions.",
10.1021/acssynbio.5b00096,2016,3,False,False,True,"Figure 3 consists solely of quantitative data plots (bar charts of relative cell number and Annexin-V binding, and line graphs of nuclear fragmentation index) reporting cell-killing assay results. No panel depicts construct architecture, sequence features, or genetic circuit composition, so there is nothing that SBOL Visual glyphs would render.",
10.1021/acssynbio.5b00103,2016,1,False,False,True,"Figure 1 is a purely metabolic pathway map showing chemical intermediates, enzymatic conversions, and cofactors for xylose/glucose assimilation, with no nucleic-acid design content. It depicts no promoters, RBSs, CDSs, terminators, backbones, plasmids, or genetic circuit composition that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00103,2016,2,False,False,True,"Both panels of Figure 2 are growth-curve data plots (OD600 versus time) for wild-type and ΔxylB E. coli strains under different carbon sources and plasmid-expressed enzymes. Plasmid names appear only as legend labels; no sequence features, backbone layout, circuit composition, or molecular interactions are diagrammed, so there is no construct design content to render with SBOL Visual glyphs.",
10.1021/acssynbio.5b00103,2016,3,False,False,True,"Figure 3 consists solely of two time-course line plots (A and B) of OD600 and metabolite concentrations for wild-type and Pen205 strains. It contains only quantitative data plots with no diagram of sequence features, plasmid composition, or genetic circuit design, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00103,2016,4,False,False,True,"Figure 4 consists solely of transcriptomics data visualizations — a hierarchically clustered expression heatmap with dendrogram and six line plots of log2 expression profiles per cluster, annotated with KEGG ontology terms. No panel depicts sequence features, backbone layout, plasmid/circuit composition, or regulatory interactions of an engineered construct, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00103,2016,5,False,False,True,"Figure 5 is a single bar chart of molar yields (EG, GA, and total C2) across engineered E. coli strains, with plasmid/genotype labels only on the x-axis. It presents quantitative data rather than any diagram of construct or circuit design, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00216,2016,1,False,False,True,"Panel (a) is a metabolite-level central metabolic pathway map, panel (b) is a text table of sgRNA target sequences and PAMs, and panel (c) is a bar chart of lysine titers; none of these is a diagram of a nucleic-acid construct's design. No promoter/RBS/CDS/terminator layout, plasmid composition, or construct-level interaction diagram is drawn or implied as a purpose of the figure.",
10.1021/acssynbio.5b00216,2016,2,False,False,True,"Panel (a) is a metabolite/enzyme pathway map with no nucleic-acid design content, panel (b) is a text table of sgRNA target sequences and PAMs rather than a diagram, and panel (c) is a bar chart of glutamate titers. No panel depicts sequence features, plasmid composition, or circuit architecture that SBOL Visual glyphs would represent.",
10.1021/acssynbio.5b00216,2016,3,False,False,True,"Panel (a) is a metabolite-level central metabolic pathway map, panel (b) is a text table of sgRNA target sequences and PAMs, and panel (c) is a bar chart of glutamate titers; none of these is a diagram of an engineered nucleic-acid construct's design. No promoters, RBSs, CDSs, terminators, plasmid composition, or backbone layout is depicted anywhere in the figure.",
10.1021/acssynbio.5b00216,2016,4,False,False,True,"Figure 4 consists solely of quantitative bar charts (panels a–c) reporting mRNA relative levels and amino acid titers per dry weight for pgi, pck, and pyk CRISPRi targeting. No panel depicts sequence features, plasmid/circuit composition, or construct-level design content that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00216,2016,5,False,False,True,"Figure 5 consists solely of three bar charts (panels a–c) reporting specific Pgi, Pck and Pyk enzyme activities in crude extracts across CRISPRi-targeted strains. It is quantitative assay data with no diagram of sequence features, plasmid composition, or construct architecture, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00226,2016,1,False,True,False,"Figure 1 diagrams the 'pancake inversion motif' as a linear DNA construct: a component (coding sequence) flanked by nested pairs of oriented invertase recognition sites, drawn as directional triangle glyphs on a backbone. Communicating this sequence-feature layout of an engineered nucleic-acid device is the figure's sole purpose, and it could be rendered with SBOL Visual recombination-site and CDS glyphs.",
10.1021/acssynbio.5b00226,2016,2,False,True,False,"All four panels depict the physical layout of an engineered DNA construct — numbered DNA elements flanked by directional invertase/recombinase recognition sites arranged along a backbone — and show how successive recombinase-mediated inversions rearrange that construct. Communicating this sequence-feature architecture is the figure's primary purpose, and it could be drawn with SBOL Visual glyphs for recombination sites and inverted components.",
10.1021/acssynbio.5b00226,2016,3,False,True,False,"Figure 3 is a schematic of a linear DNA construct showing an ordered arrangement of directional recombinase/invertase recognition sites (Correct, Link, Flip) flanking a genetic component, with connecting lines to upstream and downstream components. This is nucleic-acid design content that maps directly onto SBOL Visual glyphs (recombination sites, engineered region, backbone).",
10.1021/acssynbio.5b00226,2016,4,False,True,False,"Each panel depicts a linear DNA construct laid out as an ordered series of sequence features — directional invertase recognition sites (Link, Correct, Flip) flanking numbered elements — with the inversions that rearrange them, which is exactly the kind of recombinase-site construct design SBOL Visual glyphs (recombination sites, inverted feature orientation) are meant to express. Communicating the permuton construct's design is the primary purpose of the figure, not an incidental sketch within a mechanism or workflow illustration.",
10.1021/acssynbio.5b00226,2016,5,False,False,True,"All four panels (a–d) are quantitative data plots — line graphs of maximum key length and invertase count versus element number, a histogram of key-length distributions, and a bar plot of key-length differences across permutations. No panel depicts sequence features, construct layout, or circuit composition, so there is no nucleic-acid design content that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00229,2016,1,False,False,True,"Panel (a) is a conceptual cartoon of dividing cells diluting a cytoplasmic protein, while panels (b) and (c) are mathematical-model plots (Hill functions and protein-concentration heatmaps); no panel depicts sequence features, a construct backbone, circuit composition, or interactions involving a nucleic-acid design. Nothing here communicates the design of an engineered construct, so there is no content that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00229,2016,2,False,False,True,"Figure 2 consists solely of data plots from a mathematical model — a line graph of protein concentration probability distributions over time (panel a) and heatmaps of normalized probability dynamics for different growth-arrest orders (panel b). No panel depicts nucleic-acid sequence features, construct or plasmid composition, or molecular interactions that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00229,2016,3,False,False,True,"Figure 3 consists solely of three line-plot panels (a–c) of K-L divergence and mean protein concentration versus log growth arrest rate, output from an analytical model. It contains no nucleic-acid construct design, sequence features, or molecular interaction diagram that could be drawn with SBOL Visual glyphs.",
10.1021/acssynbio.5b00229,2016,4,False,False,True,"Figure 4 consists solely of three line plots (panels a-c) showing probability distributions, divergence versus growth arrest rate, and mean protein concentration versus shape parameter from a mathematical model. It contains no diagram of nucleic-acid sequence features, construct or circuit composition, or molecular interactions that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00237,2016,1,False,False,True,"Figure 1 comprises a conceptual biological mechanism cartoon of R body-mediated killing in Paramecium (A), electron/phase-contrast micrographs and tube photographs (B, C, F, H), a circular dichroism spectrum and secondary-structure table (D, E), and an absorbance/pH time-course plot (G). No panel depicts nucleic-acid sequence features, plasmid composition, or genetic circuit design, so there is nothing that SBOL Visual glyphs would represent.",
10.1021/acssynbio.5b00237,2016,2,False,False,True,"Figure 2 consists only of a photograph of 96-well plates (A), an absorbance-versus-pH data plot (B), and phase contrast micrographs (C). No panel depicts a nucleic-acid construct, plasmid, or genetic circuit design, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00237,2016,3,False,True,False,"Panel A includes an explicit plasmid map of the engineered construct — the rebA/rebB and rebC/rebD coding sequences of the reb operon drawn as directional arrow glyphs on a circular pET vector backbone — which is exactly the kind of nucleic-acid composition SBOL Visual glyphs represent. Although panels B–E (plate photo, absorbance plot, EM micrograph, sequence alignment) are not compatible content, and panel A also carries workflow elements, the construct's composition is drawn deliberately rather than incidentally, so the figure counts.",
10.1021/acssynbio.5b00237,2016,4,False,False,True,"Panel A is a protein amino-acid sequence alignment of RebA mutants, panel B is a data plot of normalized A590 versus pH, and panel C is phase-contrast micrographs; none of the panels depict nucleic-acid sequence features, construct architecture, or circuit-level interactions. Communicating a construct's design is not a purpose of any panel, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00237,2016,5,False,False,True,"Figure 5 consists of a cartoon of an experimental protocol (spheroplasting and buffer change) in panel A, a quantitative plot in panel B, and fluorescence micrographs/time-lapse montages in panels C-G. No panel depicts nucleic-acid sequence features, plasmid composition, or genetic circuit design; panel A is a workflow schematic showing cell treatment rather than construct architecture.",
10.1021/acssynbio.5b00257,2016,1,True,True,True,"Panel (a) presents annotated circular plasmid maps of the cargo donor, backbone acceptor, and recombined products, showing sequence features (gfp, ccdB, antibiotic-resistance markers, origins, and flanking linker/restriction sites) laid out on a backbone. Communicating the composition of these constructs is a primary purpose of the panel, so it could be drawn with SBOL Visual glyphs despite the surrounding workflow, plot, and plate photograph.",
10.1021/acssynbio.5b00257,2016,2,True,True,True,"Panels 2a and 2b each include an explicit cargo construct diagram drawn on a backbone — a T7 promoter driving the four-gene crtEBIY operon with a terminator, and a T7-narK-gfp fusion with terminator — which are directly renderable with SBOL Visual promoter, CDS, and terminator glyphs. Although the figure also contains colony images, fluorescence plates, heat maps, and a protein structure, communicating the design of these constructs is a primary purpose of the illustrated panels.",
10.1021/acssynbio.5b00284,2016,1,False,False,True,"Figure 1 is a software workflow schematic of the FlowCal package, showing file inputs, processing modules (gating, subpopulation identification, standard curve fitting), and an Excel output table, illustrated with flow cytometry histograms, density plots, and a calibration curve. It contains no nucleic-acid construct, plasmid, or genetic circuit design content that SBOL Visual glyphs could represent.",
10.1021/acssynbio.5b00284,2016,2,False,False,True,"All six panels (A–F) are quantitative data plots — flow cytometry histograms, an RCV distribution, a light dose-response curve, and a cross-instrument calibration scatter with linear fit. No panel depicts sequence features, plasmid/circuit composition, or regulatory interactions; constructs like the Ptac-sfGFP and CcaS-CcaR systems are only named in the caption, never drawn.",
10.1021/acssynbio.6b00027,2016,1,False,False,True,"Both panels depict protein-level fusion architectures (Atox1/WD4 Zn2+-binding domains with Cerulean/Citrine or Vivid domains) and their conformational switching mechanism, with no nucleic-acid sequence features, backbone layout, or genetic circuit composition shown. This is a protein-only mechanism schematic, which the historical panel did not count.",
10.1021/acssynbio.6b00027,2016,2,False,False,True,"Panel A depicts a protein-level fusion architecture (Cerulean–Vivid–Atox1–WD4–Vivid–Citrine domains and their light-driven conformational switching), not a nucleic-acid construct with sequence features on a backbone, and the remaining panels are an SDS-PAGE gel, absorbance spectra, recovery kinetics, and FRET titration plots. No panel communicates the DNA-level design of the construct, so there is nothing SBOL Visual glyphs would represent.",
10.1021/acssynbio.6b00027,2016,3,False,False,True,"Figure 3 is a thermodynamic/equilibrium scheme showing protein domain cartoons (Atox1, WD4, Vivid) with dissociation-constant equations for Zn2+ binding and Vivid homodimerization. It is a protein-only mechanistic and mathematical model with no nucleic-acid sequence features, backbone layout, or genetic construct design content.",
10.1021/acssynbio.6b00027,2016,4,False,False,True,"Panel A is a protein domain-architecture schematic of WD4–linker–Vivid fusion variants with amino-acid linker sequences, not a nucleic-acid construct laid out on a backbone; panel B is a data table and panels C–D are titration plots. The figure communicates protein-level design and biophysical measurements, so it falls under the protein-only/data-plot exclusions.",
10.1021/acssynbio.6b00027,2016,5,False,False,True,"Panel A is a linear domain-architecture map of VividZn fusion proteins (Atox1, GGSGGS linkers, WD4, with Cys/Ser substitutions) at the protein level, with no promoters, RBSs, terminators, or backbone/nucleic-acid design content; panel B is a table of dissociation constants and panels C-H are FRET titration plots. None of the panels communicate the design of an engineered nucleic-acid construct.",
10.1021/acssynbio.6b00027,2016,6,False,False,True,"Panel A is a protein-only mechanism cartoon of the redCALWY-3 FRET sensor showing light-driven Zn2+ transfer between fluorescent-protein/metal-binding domains, with no nucleic-acid sequence features, backbone layout, or genetic construct design; panels B and C are fluorescence spectra and kinetic data plots. Nothing in the figure communicates a DNA construct's design, so there is no content SBOL Visual glyphs could represent.",
10.1021/acssynbio.6b00027,2016,7,False,False,True,"Figure 7 consists only of confocal fluorescence micrographs of HeLa cells (A) and a time-course emission-ratio plot (B). It contains no diagram of nucleic-acid sequence features, plasmid/circuit composition, or construct design that could be drawn with SBOL Visual glyphs.",
10.1021/acssynbio.6b00125,2017,1,False,True,False,"Both panels are linear nucleic-acid feature maps drawing annotated promoter regions, CpG islands, and 19-nt saRNA target sites positioned on a numbered sequence backbone, which is precisely the sequence-feature-on-backbone content SBOL Visual glyphs (promoter, region/annotation arrows) are designed to express. Communicating the layout of these sequence features is the figure's primary purpose, not an incidental sketch within a mechanism or workflow illustration.",
10.1021/acssynbio.6b00125,2017,2,False,False,True,"All five panels (a-e) are flow cytometry fluorescence histograms plotting cell frequency against log fluorescence — data plots only, with no diagram of construct architecture, sequence features, or genetic circuit composition. The plasmids and promoters are named in the caption but never depicted as a design.",
10.1021/acssynbio.6b00125,2017,3,False,False,True,"All five panels (a-e) of Figure 3 are flow cytometry fluorescence histograms plotting cell frequency against log fluorescence — purely experimental data plots. No panel depicts construct architecture, sequence features, or genetic interactions, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.6b00125,2017,4,False,False,True,"Figure 4 is a single bar chart of EGFP fluorescence values across mock control and saRNA-induced conditions, with error bars and significance asterisks. It contains no diagram of construct architecture or sequence features — the pLJM1/CMV design is described only in the caption text, not drawn.",
