rule_key,rubric_id,category,section,historical_rule_id,canonical_specification_section,normative_keyword,statement,notes_json,source_url
compliance:5.4.6,historical_2025_rubric_v1,compliance,5.4.6,5.4.6,5.4.6,MUST NOT,An edge MUST NOT connect to the head or tail of another edge,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.5.2,historical_2025_rubric_v1,compliance,5.5.2,5.5.2,5.5.2,MUST NOT,Glyphs for sequence features and molecular species MUST NOT intersect the boundary of a subsystem.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.5.5,historical_2025_rubric_v1,compliance,5.5.5,5.5.5,5.5.5,MUST,"If an interface rectangle is used to indicate that a feature is part of the interface of a subsystem, then any interaction crossing the boundary and connecting with that feature MUST pass through the interface rectangle..",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.1.1,historical_2025_rubric_v1,best_practice,5.1.1,5.1.1,5.1.1,SHOULD,"In a diagram with both single- and double-stranded nucleic acid constructs, double-stranded constructs SHOULD use double lined backbones.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.1.2,historical_2025_rubric_v1,best_practice,5.1.2,5.1.2,5.1.2,SHOULD,"Nucleic acid backbones SHOULD be horizontal unless using non-horizontal structure to indicate physical attributes (e.g., closed loop for cyclic plasmid or complex shapes showing secondary structure).",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.1.3,historical_2025_rubric_v1,best_practice,5.1.3,5.1.3,5.1.3,SHOULD,"Backbones SHOULD use the shape of plasmid and locus glyphs to indicate those features, and the omitted detail glyph to indicate context not shown.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.1.4,historical_2025_rubric_v1,best_practice,5.1.4,5.1.4,5.1.4,SHOULD,A nucleic acid backbone SHOULD have at least one feature glyph,"[""Unless it is an assembly diagram.""]",https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.2.1,historical_2025_rubric_v1,best_practice,5.2.1,5.2.1,5.2.1,SHOULD,Glyphs SHOULD follow the recommendation for backbone alignment in the glyph specification.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.2.2,historical_2025_rubric_v1,best_practice,5.2.2,5.2.2,5.2.2,SHOULD,"Reverse complement SHOULD be consistently indicated by 180-degree rotation, not horizontal-only inversion.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.2.3,historical_2025_rubric_v1,best_practice,5.2.3,5.2.3,5.2.3,SHOULD,"Inline 5’ to 3’ SHOULD be drawn left to right, and reverse complement right to left.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.2.4,historical_2025_rubric_v1,best_practice,5.2.4,5.2.4,5.2.4,SHOULD NOT,Nucleic acid features SHOULD NOT overlap unless their locations overlap,"[""Flexible on bounding box overlap if glyph does not overlap.""]",https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.2.5,historical_2025_rubric_v1,best_practice,5.2.5,5.2.5,5.2.5,SHOULD,Nucleic acid features SHOULD overlap if their locations overlap,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.2.6,historical_2025_rubric_v1,best_practice,5.2.6,5.2.6,5.2.6,SHOULD,A nucleic acid SHOULD use the RECOMMENDED version of the most specific applicable glyph. Novel more-specific glyphs are acceptable.,"[""Flexible on version"", ""Special case: arrow version of CDS is accepted"", ""Special case: straight line for restriction site is accepted"", ""Special case: double slash line break (–//–) for omitted material is compliant but not best practices""]",https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.3.1,historical_2025_rubric_v1,best_practice,5.3.1,5.3.1,5.3.1,SHOULD,A molecular species SHOULD use the RECOMMENDED version of the most specific applicable glyph. Novel more-specific glyphs are acceptable.,"[""Special case: oval is OK to use for protein, since it’s a degenerate form of pill glyph""]",https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.3.3,historical_2025_rubric_v1,best_practice,5.3.3,5.3.3,5.3.3,SHOULD,"If a molecular species overlaps a nucleic acid construct, the location of the overlap SHOULD correspond with the location of the interaction, the molecular species glyph SHOULD be distinct from a sequence feature glyph, and the location SHOULD be represented with a feature glyph appropriate to the interaction.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.4.1,historical_2025_rubric_v1,best_practice,5.4.1,5.4.1,5.4.1,SHOULD NOT,Two interaction edges SHOULD NOT cross one another.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.4.2,historical_2025_rubric_v1,best_practice,5.4.2,5.4.2,5.4.2,SHOULD,An interaction SHOULD use the RECOMMENDED version of the most specific applicable glyph. Novel more-specific glyphs are acceptable.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.4.4,historical_2025_rubric_v1,best_practice,5.4.4,5.4.4,5.4.4,SHOULD,An interaction node SHOULD use the RECOMMENDED version of the most specific applicable glyph. Novel more-specific glyphs are acceptable.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.4.5,historical_2025_rubric_v1,best_practice,5.4.5,5.4.5,5.4.6,SHOULD NOT,An edge SHOULD NOT connect to only one head of a multi-head arrow or only one tail of a multi-tail arrow.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.5.1,historical_2025_rubric_v1,best_practice,5.5.1,5.5.1,5.5.1,SHOULD,"The boundary of a subsystem SHOULD be a rectangle or rounded rectangle with sides oriented vertically and horizontally, and SHOULD be larger and have a different line style than other glyphs.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
best_practice:5.6,historical_2025_rubric_v1,best_practice,5.6,5.6,5.6,SHOULD,"If an object’s name is displayed, it SHOULD be clearly visually connected to the object’s associated glyph.",[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
