doi,year,figure_number,image_path,historical_compatible,evaluator_compatible,evaluator_rationale,adjudicated_compatible,adjudication_rationale,reviewer,reviewed_at
10.1021/sb300119v,2013,2,images/10.1021__sb300119v__figure-2.png,False,True,"Panel (a) is a design schematic of the co-transformed ccm library and mtrCAB plasmids, showing each construct's transcriptional unit composition — library/T7 promoters, lacO operator, and the ccmA-H and mtrCAB coding sequences — which is exactly the promoter/CDS arrangement SBOL Visual glyphs express. The marker and origin annotations are secondary framing rather than the panel's purpose, which is to specify the engineered constructs whose promoter strengths are varied in panels (b) and (c).",,,,
10.1021/sb300128r,2013,1,images/10.1021__sb300128r__figure-1.png,False,True,"Panel (b) lays out three engineered fusion constructs as linear part arrangements (TP_Fd transit peptide + TM domain + CYP79A1/CYP71E1/UGT85B1 coding sequences), specifying the composition of nucleic-acid constructs to be built rather than annotating a native sequence. The restriction sites are secondary labels on what is fundamentally a design specification, so the depiction could be drawn with SBOL Visual glyphs even though panels (a) and (c) are a mechanism schematic and a TLC image.",,,,
10.1021/sb300131w,2013,1,images/10.1021__sb300131w__figure-1.png,True,False,"Both panels illustrate a mutagenesis protocol and its enzymatic mechanism: panel (a) is cloning cartography showing primer-binding positions and base substitutions on a template plasmid through PCR and isothermal assembly, and panel (b) is a base-pairing/exonuclease-polymerase-ligase mechanism schematic. Neither specifies the composition or arrangement of an engineered construct's sequence features as a design to build.",,,,
10.1021/sb300131w,2013,2,images/10.1021__sb300131w__figure-2.png,True,False,"All three panels are cloning cartography: plasmid maps annotated with primer pairs, restriction sites (AscI, BstBI, BsaI, BsmBI), point-mutation stars, deleted regions, and PCR fragment sizes, arranged as a mutagenesis/assembly workflow. They document how each product was assembled rather than specifying the composition and arrangement of an engineered construct as a design.",,,,
10.1021/sb400002n,2013,1,images/10.1021__sb400002n__figure-1.png,False,True,"Panel (a) lays out an engineered expression construct as a linear design — spacer, a swappable RBS (variants A–F), start codon, 6His tag, and YFP coding sequence — which is exactly the composition and arrangement of sequence features that SBOL Visual glyphs express. The remaining panels are fluorescence and accumulation-rate plots, but the construct depiction in (a) is a primary purpose of the figure and specifies a design to build rather than annotating a native sequence or documenting cloning apparatus.",,,,
10.1021/sb400002n,2013,2,images/10.1021__sb400002n__figure-2.png,False,True,"Above the scatter plot, Figure 2 includes a schematic of the Y–R bicistronic operon showing the RBS variant set (A–F) upstream of the YFP CDS and the RBS set (A, C, E) upstream of the RFP CDS laid out along a backbone. This specifies the composition and arrangement of the engineered construct as a design and could be drawn with SBOL Visual RBS and CDS glyphs, so the figure counts even though the remainder is a data plot.",,,,
10.1021/sb400002n,2013,3,images/10.1021__sb400002n__figure-3.png,False,True,"The inset panel diagrams the engineered operon variants as a design: an upstream gene and downstream gene laid out in order, each preceded by a labeled RBS variant ({A}/{E} and {X}), which is exactly an RBS–CDS composition specifiable with SBOL Visual glyphs. Although the main panel is a bar chart, the construct depiction specifies the arrangement of the constructs built rather than annotating a native sequence or documenting cloning apparatus.",,,,
10.1021/sb400002n,2013,4,images/10.1021__sb400002n__figure-4.png,False,True,"Panels (a) and (b) each carry a schematic above the scatter plots laying out the engineered operon as a design — a set of variant RBS sequences (A, C, D, E, F) driving an upstream CDS (RFP or CFP) followed by a second RBS choice driving the downstream YFP CDS. That is a specification of the construct's composition and arrangement, drawable with SBOL Visual RBS and CDS glyphs, so it counts even though the rest of the figure is data plots.",,,,
10.1021/sb400002n,2013,5,images/10.1021__sb400002n__figure-5.png,False,True,"Above the scatter plot, Figure 5 includes schematics of the engineered CFP-YFP and CFP-YFP-RFP operons, laying out each RBS variant (A/C/E) and its downstream CDS in order along the construct. This specifies the composition and arrangement of a designed construct rather than annotating a native sequence or documenting cloning apparatus, so it could be drawn with SBOL Visual RBS and CDS glyphs.",,,,
10.1021/sb400002n,2013,6,images/10.1021__sb400002n__figure-6.png,False,True,"Both panels (a) and (b) are headed by schematic operon diagrams showing an engineered synthetic construct as a design: RBS elements (variants A/C/E) laid out on a backbone upstream of CDS boxes (YFP, RFP, CFP) in defined order, specifying the composition and arrangement of the reporter operon variants. These are design specifications drawable with SBOL Visual RBS/CDS glyphs, and they count on their own terms even though the rest of the figure is scatter plots.",,,,
10.1021/sb400002n,2013,7,images/10.1021__sb400002n__figure-7.png,False,True,"Above each scatter plot, panels (a) and (b) carry schematics of the engineered CFP-YFP-RFP operon showing RBS variants ({A}, {C}, {E}) preceding each coding sequence in linear order — a design specification of the construct's composition and arrangement, directly renderable with SBOL Visual RBS and CDS glyphs. The accompanying data plots do not negate the construct depictions, which are judged on their own terms.",,,,
10.1021/sb400002n,2013,8,images/10.1021__sb400002n__figure-8.png,False,True,"Above the plot, Figure 8 includes construct schematics of the engineered two-gene operons ({A}/{C} RBS variants driving YFP, followed by an {C} RBS and RFP), laying out the composition and arrangement of sequence features as a design to build. This is exactly the RBS/CDS operon design content SBOL Visual glyphs represent, so the figure counts despite the accompanying fluorescence and RT-qPCR data plots.",,,,
10.1021/sb400019s,2013,1,images/10.1021__sb400019s__figure-1.png,True,False,"Panel (a) is a protein-level reaction mechanism schematic showing sortase-mediated labeling of the pIII coat protein — peptide motifs, a disulfide loop, and a Factor Xa cleavage site on a displayed polypeptide, with no nucleic-acid sequence features or construct architecture depicted. Panel (b) is a gel image (fluorescence and immunoblot), so no panel specifies an engineered nucleic-acid design.",,,,
10.1021/sb400019s,2013,2,images/10.1021__sb400019s__figure-2.png,True,False,"Panel (a) is a protein-chemistry mechanism cartoon showing sortase-mediated conjugation of fluorophores to phage coat proteins (pIX, pVIII, pIII), and panel (b) is an SDS-PAGE fluorescence image and immunoblots. Neither depicts the composition or arrangement of an engineered nucleic-acid construct, so there is no sequence-feature design content that SBOL Visual glyphs could represent.",,,,
10.1021/sb400019s,2013,3,images/10.1021__sb400019s__figure-3.png,True,False,"Panel (a) is a base-pairing/assembly mechanism cartoon of phage particles joined by hybridized DNA oligos, annotated with restriction-cleavage sites (AgeI, AatII) — laboratory cartography of an assembly product rather than a design specification of sequence features on a construct. The remaining panels (b–e) are gel images, AFM and fluorescence micrographs, a histogram, and DLS curves, none of which convey nucleic-acid design content.",,,,
10.1021/sb400021j,2013,1,images/10.1021__sb400021j__figure-1.png,True,False,"Panel (a) is a protocol/workflow schematic and panels (c)–(f) are bar charts, micrographs, and plate photographs; the only construct depiction, panel (b), is a conventional vector map of pOSIP annotated with cloning apparatus (MCS, ccdB counter-selection, pUC and R6Kγ origins, antibiotic resistance marker, attP and FRT recombination sites), which the panel excluded as cloning and vector cartography rather than a design specification.",,,,
10.1021/sb400021j,2013,2,images/10.1021__sb400021j__figure-2.png,True,False,"All three panels are cloning-workflow schematics for the clonetegration/pE-FLP excision procedure, illustrated with vector cartography whose annotations are cloning apparatus (attP/att186/attHK022 integration sites, FRT sites, kanR/camR selection markers, integration modules) plus fluorescence micrographs. The plasmid and chromosome depictions document how the integration products are assembled rather than specifying an engineered construct's composition as a design.",,,,
10.1021/sb400050k,2013,1,images/10.1021__sb400050k__figure-1.png,True,False,"The figure depicts XylR protein domain organization and its activation mechanism, plus the native Pu and PR promoter regions annotated with the positions of UAS binding sites, an IHF site, -12/-24 and -35/-10 boxes, and transcription start sites, alongside abstract logic-gate symbols. These are annotated sequence/motif maps of native regulatory regions and a protein mechanism illustration, not a specification of an engineered construct's design.",,,,
10.1021/sb400050k,2013,3,images/10.1021__sb400050k__figure-3.png,True,False,"Figure 3 is a protocol schematic for generating KILB libraries: in vitro transposition, digestion/recloning, religation, and plate photographs. Its construct depictions are cloning cartography — a transposon delimited by mosaic ends with a Km selection marker and SbfI/NotI restriction sites, and a vector map with oriV, bla, BamHI/XbaI cloning sites, xylR domain boundaries with residue coordinates, and triangles marking random insertion points — documenting how the library was assembled and where insertions fall rather than specifying an engineered construct's design.",,,,
10.1021/sb400050k,2013,4,images/10.1021__sb400050k__figure-4.png,True,False,"Panel (a) is a protein domain map annotating where NIa protease target sites were inserted along the XylR amino-acid sequence — a protein-level sequence/target-site annotation, not a nucleic-acid construct design — while panels (b) and (c) are a Western blot image and β-galactosidase bar charts. No panel specifies the composition or arrangement of an engineered DNA construct.",,,,
10.1021/sb400050k,2013,6,images/10.1021__sb400050k__figure-6.png,True,False,"Panel (a) is a protein domain map of XylR variants (effector-binding, activation, HTH domains with protease cleavage sites and amino acid termini), which is protein-only content with no nucleic-acid construct design; panels (b)-(c) are a plate photograph and bar charts, and panel (d) is an abstract Boolean logic-gate formalization rather than a depiction of a construct's sequence-feature composition.",,,,
10.1021/sb4000756,2014,1,images/10.1021__sb4000756__figure-1.png,False,True,"The figure lays out the engineered transcriptional template as a design — a T7 promoter positioned on a nucleic-acid backbone with a downstream noncomplementary ssDNA region carrying the thrombin aptamer — and shows the functional interaction (thrombin binding blocking polymerase) that this arrangement is built to produce. This is design specification of sequence features and their regulatory interaction, not a sequence annotation, vector map, or incidental sketch attached to another structure.",,,,
10.1021/sb400109p,2014,2,images/10.1021__sb400109p__figure-2.png,False,True,"Panel (a) lays out the engineered GFP TALEN reporter as a linear construct design — 5' GFP homology region, Xa10 binding site, in-frame stop, TALEN binding site, and 3' GFP — which is exactly the kind of sequence-feature composition SBOL Visual glyphs express, regardless of the mechanism arrows and the bar chart in panel (b). The binding sites here are designed components of a synthetic reporter cassette rather than annotations of a native sequence or cloning apparatus, so no exclusion applies.",,,,
10.1021/sb400135t,2014,1,images/10.1021__sb400135t__figure-1.png,False,True,"Panel E lays out composite SBOL DNA components for the genetic multiplexer — promoters (pLux, pLas, pLambda), RBSs, CDSs (LuxI, LasI, LuxR, cI, LasR), and terminators arranged along backbones — which specifies the composition and arrangement of the engineered construct as a design. Although panels A–D are model-composition/regulatory DAGs with incidental construct sketches at their nodes, panel E on its own terms is a design specification drawable with SBOL Visual glyphs.",,,,
10.1021/sb400135t,2014,2,images/10.1021__sb400135t__figure-2.png,False,True,"The library DAGs on the right specify genetic logic gates as designs to build — promoter glyphs driving coding-sequence glyphs with activation/repression and complex-formation relations — and the caption states these are SBOL Visual symbols representing the DNA components of each gate, so the content is genetic-circuit design that SBOL Visual glyphs can (and do) express. The construct depictions are not sequence annotations or cloning maps but the buildable composition of each gate in a design library.",,,,
10.1021/sb400140t,2014,5,images/10.1021__sb400140t__figure-5.png,False,True,"Panel c lays out four engineered linear DNA templates as design specifications, showing the arrangement of a T7 promoter, hammerhead ribozyme, and o-tRNA/o-tRNA-opt coding sequence along a backbone — sequence features that map directly onto SBOL Visual glyphs. The remaining panels (protein structure and bar charts) are not compatible, but the construct depiction in panel c specifies designs to build rather than annotating a native sequence or documenting cloning apparatus.",,,,
10.1021/sb400161v,2014,1,images/10.1021__sb400161v__figure-1.png,False,True,"Figure 1 depicts 36 engineered DNA constructs as linear backbones subdivided into colored, labeled reusable parts in their designed order, communicating the composition and arrangement of each target as a design to build. This is construct-composition content that could be rendered with SBOL Visual glyphs, and it is not a sequence annotation map, a cloning/vector map, or construct sketches decorating another organizing structure.",,,,
10.1021/sb400169s,2014,2,images/10.1021__sb400169s__figure-2.png,False,True,"Panel A specifies the composition and domain arrangement of the engineered DNA complexes (Catalysis, Catalysis_1, and strand X) that constitute the catalytic circuit, and panel B lays out the functional interactions among these engineered nucleic-acid species — design content that could be rendered with SBOL Visual nucleic-acid glyphs. The plot in panel C is incidental, since a construct/system design is a primary purpose of the figure.",,,,
10.1021/sb400169s,2014,3,images/10.1021__sb400169s__figure-3.png,False,True,"Panel A specifies the domain composition and arrangement of the engineered DNA strands (signal A, B, and the a*b* Template) that constitute the catalytic DNA toolbox circuit, and panel B lays out the functional interactions among those designed nucleic-acid species, both of which are expressible with SBOL Visual nucleic-acid and interaction glyphs. The simulation plot in panel C does not affect this, since a construct-design depiction is judged on its own terms.",,,,
10.1021/sb400169s,2014,8,images/10.1021__sb400169s__figure-8.png,False,True,"Panels A and B depict engineered DNA strands and complexes as domain-annotated nucleic-acid designs, specifying the composition and arrangement of the two-domain strand-displacement species that implement each reaction, plus the functional interactions among them. This is a design specification of an engineered nucleic-acid system rather than sequence annotation or cloning cartography, so it could be drawn with SBOL Visual glyphs; the simulation plots in panel C do not change that.",,,,
10.1021/sb400169s,2014,9,images/10.1021__sb400169s__figure-9.png,False,True,"Panel A specifies the composition and domain arrangement of each engineered DNA strand/gate species (X, X', TemplateOff, TemplateOffInv) as a design to build, and panel B lays out functional interactions among those nucleic-acid constructs and enzymes — engineered nucleic-acid system design content that SBOL Visual glyphs could express. This is design specification rather than sequence annotation or cloning cartography, so the exclusions do not apply.",,,,
10.1021/sb400169s,2014,10,images/10.1021__sb400169s__figure-10.png,False,True,"Panels A and B depict engineered nucleic-acid constructs as domain-level strand diagrams — transcription templates laid out with a promoter and ordered functional domains (u*, xs*, t*, prom, ys, y1/y2, yh) on annealed strands — which specifies the composition and arrangement of constructs to build rather than annotating a native sequence or documenting cloning apparatus. The reaction arrows and simulation plots are additional content, but the strand-level design depictions could be drawn with SBOL Visual glyphs and molecular-interaction arcs.",,,,
10.1021/sb500047r,2014,2,images/10.1021__sb500047r__figure-2.png,True,False,"Figure 2 is a laboratory protocol schematic tracing a one-step RBS insertion workflow (primer annealing, extension, DpnI digest, transformation and plating), and its plasmid circles are annotated with cloning apparatus — primer binding sites and the insertion point — rather than specifying an engineered construct's design. This falls under the panel's exclusions for workflow schematics and cloning/vector cartography.",,,,
10.1021/sb5000675,2014,1,images/10.1021__sb5000675__figure-1.png,False,True,"Panel A is a circuit diagram of the Kim–Winfree in vitro transcriptional oscillator, specifying the engineered nucleic-acid system's composition (two DNA switches SW12/SW21, RNA activator rA1, RNA inhibitor rI2, plus the DNA-tweezer load) and the activation/inhibition interactions among them — content directly expressible with SBOL Visual glyphs and arcs. Panels B and C are data plots and do not count, but the design-specifying panel A is judged on its own terms.",,,,
10.1021/sb5000675,2014,3,images/10.1021__sb5000675__figure-3.png,False,True,"Panels I and II specify the design of the Kim–Winfree oscillator as a synthetic transcriptional network of two (or three) DNA switch templates wired by RNA activator/inhibitor signals with activation and inhibition arrows, and panel V depicts the switch template's promoter/domain composition — content that maps directly onto SBOL Visual functional-interaction and sequence-feature glyphs. The plots (III, IV) and reaction schemes (VI, VII) do not disqualify the figure, since the design depiction is judged on its own terms.",,,,
10.1021/sb500084f,2014,7,images/10.1021__sb500084f__figure-7.png,False,True,"Flanking the scatter plot, Figure 7 contains two schematics that lay out engineered promoter architectures on a DNA backbone — overlapping O_CRP-IHF versus adjacent O_IHF and O_CRP operator sites upstream of a core promoter with -35/-10 elements and a transcription start arrow. These specify the composition and arrangement of synthetic cis-regulatory constructs proposed for combinatorial control rather than annotating positions in a native sequence, so they could be drawn with SBOL Visual glyphs.",,,,
10.1021/sb500236e,2014,3,images/10.1021__sb500236e__figure-3.png,False,True,"Panel (a) is a gene circuit architecture diagram specifying an engineered design: two transcription units (activator and repressor genes with their mRNAs and proteins) connected by activation and repression regulatory interactions forming a single negative feedback loop. That composition and its functional interactions could be drawn with SBOL Visual glyphs, and the remaining panels (design-space heat maps and a time course) do not negate the design content of panel (a).",,,,
10.1021/sb500236e,2014,4,images/10.1021__sb500236e__figure-4.png,False,True,"Panel a of each of the two sub-figures is a gene circuit architecture diagram specifying the design of an engineered transcriptional system — activator and repressor transcription units with their mRNA/protein products and the activation and repression interactions that form the positive and negative feedback loops. That regulatory composition is exactly the content SBOL Visual glyphs and functional-interaction arcs express, and it is a primary purpose of the figure even though panels b–d are data plots.",,,,
10.1021/acssynbio.5b00044,2015,9,images/10.1021__acssynbio.5b00044__figure-9.png,False,True,"Panels (a)–(d) specify the design of engineered nucleic-acid constructs — DNA strand-displacement modules drawn as labeled domains and toeholds arranged along strands within duplex complexes — defining the composition of each circuit element (DIFF, TRANS, ANDdiff, WIRE) to be built, together with their input/output interactions. This is design specification rather than sequence annotation or cloning cartography, so the incidental mechanism panel (e) does not disqualify it.",,,,
10.1021/acssynbio.5b00077,2015,1,images/10.1021__acssynbio.5b00077__figure-1.png,False,True,"Panel A specifies the design of an engineered DNA-encoded RNA transcriptional cascade: a three-level circuit topology with repression interactions between orthogonal sRNA repressor/attenuator pairs, expanded into a nucleic-acid layout showing promoter, attenuator, terminator, and target gene arranged along a backbone. This is construct composition and functional interaction content that SBOL Visual glyphs could express, and it is not a sequence annotation, cloning map, or node decoration, even though the surrounding panel B is a modeling workflow.",,,,
10.1021/acssynbio.5b00077,2015,2,images/10.1021__acssynbio.5b00077__figure-2.png,False,True,"Panel A lays out the three plasmid levels of an engineered sRNA transcriptional cascade as a design — constitutive promoters followed by attenuators, tandem repressor copies, and an SFGFP coding sequence on DNA backbones — together with the repression interactions between the RNA species, all of which maps directly onto SBOL Visual glyphs. This is design specification of a genetic circuit rather than sequence annotation or cloning cartography, so the mechanistic/model panel C and the data plot in panel B do not change the verdict.",,,,
10.1021/acssynbio.5b00077,2015,3,images/10.1021__acssynbio.5b00077__figure-3.png,False,True,"Above each sensitivity heatmap, panels A–D depict the DNA constructs (L1, L2, L2', L3) used in each experiment as linear designs with promoter arrows, ribozyme/attenuator-antisense elements, and an SFGFP CDS, plus repression arrows between them. These are design specifications of engineered nucleic-acid constructs and their regulatory interactions, drawable with SBOL Visual glyphs, even though the rest of the figure is data plots.",,,,
10.1021/acssynbio.5b00077,2015,4,images/10.1021__acssynbio.5b00077__figure-4.png,False,True,"Each of the four panels embeds a schematic of the engineered sRNA cascade construct — promoter arrows, hairpin/attenuator and CDS elements on DNA backbone lines, with repression arrows between levels — which specifies the composition and regulatory arrangement of the circuits being tested rather than annotating a sequence or documenting cloning. These construct depictions are directly renderable with SBOL Visual glyphs even though the surrounding content is time-course data plots.",,,,
10.1021/acssynbio.5b00077,2015,5,images/10.1021__acssynbio.5b00077__figure-5.png,False,True,"Although Figure 5 is primarily fluorescence trajectory plots, each of the six panels carries an inset schematic that lays out the engineered plasmid constructs as a design: promoters (bent arrows), attenuator/antisense sRNA parts, tandem copies (x2), and the SFGFP reporter arranged on backbones with repressive interactions drawn between them. These construct depictions specify the composition and arrangement of the RNA transcriptional cascade variants to be built, which is exactly the content SBOL Visual glyphs represent.",,,,
10.1021/acssynbio.5b00113,2015,1,images/10.1021__acssynbio.5b00113__figure-1.png,True,False,"Panels (a) and (b) illustrate uracil-excision overhang chemistry and base pairing, panels (e) and (f) are bar charts, and the plasmid depictions in (c) and (d) are conventional vector cartography — pET_Duet_GFPstop annotated with AmpR, f1 ori, and colored primer/fragment arrows showing how the cloning product is amplified and reassembled. Nothing here specifies the composition of an engineered construct as a design to build.",,,,
10.1021/acssynbio.5b00132,2015,1,images/10.1021__acssynbio.5b00132__figure-1.png,True,False,"Panel (a) is a CRISPR mechanism and base-pairing illustration: the promoter/GFP sketch on the genome line is incidental scaffolding for an annotated target-sequence map marking the protospacer, PAM, and D10A/H840A cleavage positions, which documents where features sit in a sequence rather than specifying a construct design to build. Panel (b) is a bar chart of transformation efficiencies.",,,,
10.1021/acssynbio.5b00132,2015,3,images/10.1021__acssynbio.5b00132__figure-3.png,True,False,"Panel (a) is a native K12 MG1655 genomic locus map annotated with sgRNA target positions, IS5 repeats, and PCR primer-binding sites, which documents where features sit in an existing sequence and how a deletion product is genotyped rather than specifying an engineered construct's design; panel (b) is a base-pairing/cut-site mechanism sketch, and panels (c)–(e) are gel images and colony plates.",,,,
10.1021/acssynbio.5b00132,2015,4,images/10.1021__acssynbio.5b00132__figure-4.png,True,False,"Panel (a) is a native E. coli genomic locus map annotated with sgRNA target sites (K, L, B, I), primer-binding sites (Pt1/Pt4/Ph1/Ph4), direct repeats and marker genes, showing where features sit before and after recombination — sequence annotation and locus cartography rather than a design specification for a construct to build. Panels (b) and (c) are a gel image and replica-plate photographs, which are excluded outright.",,,,
10.1021/acssynbio.5b00170,2015,2,images/10.1021__acssynbio.5b00170__figure-2.png,True,False,"Panels B–F are simulation plots, and panel A is a kinetic/mathematical model schematic whose organizing structure is a reaction-and-rate-parameter graph (α, γ, k, C terms) with small promoter/CDS sketches attached to its nodes to illustrate the model parameters in Table 1. It documents model composition rather than specifying an engineered construct's design to build, matching the study's exclusion for model-composition graphs and mathematical models.",,,,
10.1021/sb4001189,2015,3,images/10.1021__sb4001189__figure-3.png,True,False,"Panel A's only construct depiction is embedded in a protocol/workflow schematic of the library-screening method: an annotated -35/-10 motif map of the phaC1 promoter sequence plus a conventional vector cartoon whose labeled parts are cloning apparatus (KanR selection marker, Rep replication region) alongside the promoter-GFP reporter. The remaining panels (B, C, D) are data plots. It documents where motifs sit and how the screening plasmid was assembled rather than specifying an engineered construct's composition as a design.",,,,
10.1021/sb500024b,2015,1,images/10.1021__sb500024b__figure-1.png,False,True,"Panel B specifies the composition of the engineered genetic circuit as a design, showing promoter-driven transcriptional units (P_tet scaffold-RFP, P_con histidine kinase, P_BAD response regulator, P_sal phosphatase, and a P_CusR promoter glyph driving the antiscaffold-YFP cassette on a backbone line) together with their functional interactions. This is construct design content that could be drawn with SBOL Visual glyphs, not sequence annotation or cloning cartography.",,,,
10.1021/sb500234s,2015,1,images/10.1021__sb500234s__figure-1.png,True,False,"Panel (b) is flow cytometry data, and panel (a) is a conventional vector map whose annotations are cloning apparatus — restriction sites (PacI, AscI, FseI, SpeI, SwaI, PshAI), oriT, and the bla selection marker — organized around host DIAL-strain dependence rather than specifying a construct's design composition. This falls under the panel's cloning/vector-cartography exclusion.",,,,
10.1021/sb500234s,2015,2,images/10.1021__sb500234s__figure-2.png,True,False,"Panel (a) is a conventional SEVA-style vector map plus chromosomal locus diagram whose annotations are cloning apparatus — origin (COR), selection markers (bla, kanR), oriT, FRT knockout remnants, and a ring of restriction/insertion sites (PacI, AscI, FseI, PshAI, SwaI, SpeI) — serving a host-strain auxotrophy-complementation overview rather than specifying a construct's design. The remaining panels (b, c) are bar charts and (d) is a dilution-series plate image, none of which are SBOL Visual content.",,,,
10.1021/sb500234s,2015,4,images/10.1021__sb500234s__figure-4.png,True,False,"Figure 4's panels are conventional vector/cassette maps whose annotations are cloning apparatus — restriction sites (EcoRI, XmaI, AvrII, PacI, AscI, FseI, SpeI, SwaI, SphI, NotI), a pUC18-derived multicloning site, ampR/kanR selection markers, an oriR/RK2 origin, and FWD/REV primer arrows — organized around a retrofitting workflow (PCR-amplify the COR/toxin/auxotrophy cassette, swap it into an existing plasmid, integrate into the host chromosome). This is laboratory cartography documenting how the cloning products are assembled rather than a design specification of a construct's composition and arrangement.",,,,
10.1021/sb500241e,2015,1,images/10.1021__sb500241e__figure-1.png,True,False,"Panel (a) is a laboratory workflow schematic for the RADOM assembly protocol, and panel (b) is conventional vector cartography — an assembly vector map whose annotations are entirely cloning apparatus (selection marker, CEN/ARS, Amp^r, Ori, lacZα linearization site, restriction sites, terminal-homology fragments F1–Fn). It documents how a cloning product is assembled rather than specifying the composition of an engineered construct as a design.",,,,
10.1021/sb500241e,2015,2,images/10.1021__sb500241e__figure-2.png,True,False,"Panel (a) is a cloning assembly scheme: overlapping PCR building blocks joined into pRS413/pZX8 backbones annotated purely with cloning apparatus (Ori, Amp^r, CEN/ARS, HIS3 marker, M13F/M13R primer sites, XhoI/FseI release sites), documenting how the minichunk product is built rather than specifying an engineered construct's functional design. Panel (b) consists solely of colony-PCR gel images.",,,,
10.1021/sb500241e,2015,3,images/10.1021__sb500241e__figure-3.png,True,False,"Panel (a) is vector cartography rather than a design specification: the assembly vectors pRS413/pZX8 are annotated purely with cloning apparatus (HIS3 marker, CEN/ARS, Amp^r, Ori, XhoI/FseI restriction sites, MCPCR amplicon locations, and minichunk overlap regions), documenting how the ~10 kb chunk assembly product was built and verified. Panels (b) and (c) are agarose gel images, which are also outside SBOL Visual's scope.",,,,
